cik,ticker,composite_figi,share_class_figi,name,valid_from,valid_to,source_snapshot
1800,ABT,BBG000B9ZXB4,BBG001S5N9M6,ABBOTT LABORATORIES,2026-02-15,,202602
2488,AMD,BBG000BBQCY0,BBG001S5NN36,ADVANCED MICRO DEVICES INC,2026-02-15,,202602
4962,AXP,BBG000BCQZS4,BBG001S5P034,AMERICAN EXPRESS CO,2026-02-15,,202602
6951,AMAT,BBG000BBPFB9,BBG001S5NMM7,APPLIED MATERIALS INC /DE,2026-02-15,,202602
12927,BA,BBG000BCSST7,BBG001S5P0V3,BOEING CO,2026-02-15,,202602
18230,CAT,BBG000BF0K17,BBG001S5PJ06,CATERPILLAR INC,2026-02-15,,202602
19617,JPM,BBG000DMBXR2,BBG001S8CRC3,JPMORGAN CHASE & CO,2026-02-15,,202602
21344,KO,BBG000BMX289,BBG001S5SMQ8,COCA COLA CO,2026-02-15,,202602
40545,GE,BBG000BK6MB5,BBG001S5PVD5,GENERAL ELECTRIC CO,2026-02-15,,202602
47710,HTHIY,BBG000BL54X0,BBG001S5RX76,HITACHI LTD,2026-02-15,,202602
50863,INTC,BBG000C0G1D1,BBG001S5SF65,INTEL CORP,2026-02-15,,202602
51143,IBM,BBG000BLNNH6,BBG001S5S399,INTERNATIONAL BUSINESS MACHINES CORP,2026-02-15,,202602
59478,LLY,BBG000BNBDC2,BBG001S5STL8,ELI LILLY & Co,2026-02-15,,202602
63908,MCD,BBG000BNSZP1,BBG001S5T110,MCDONALDS CORP,2026-02-15,,202602
67088,MUFG,BBG000D4F4F5,BBG001SFZ3S8,MITSUBISHI UFJ FINANCIAL GROUP INC,2026-02-15,,202602
70858,BAC,BBG000BCTLF6,BBG001S5P0Y0,BANK OF AMERICA CORP /DE/,2026-02-15,,202602
72971,WFC,BBG000BWQFY7,BBG001S5XF23,WELLS FARGO & COMPANY/MN,2026-02-15,,202602
77476,PEP,BBG000DH7JK6,BBG001S695T1,PEPSICO INC,2026-02-15,,202602
80424,PG,BBG000BR2TH3,BBG001S5V4L9,PROCTER & GAMBLE Co,2026-02-15,,202602
93410,CVX,BBG000K4ND22,BBG001S67ZC5,CHEVRON CORP,2026-02-15,,202602
97476,TXN,BBG000BVV7G1,BBG001S5WYZ7,TEXAS INSTRUMENTS INC,2026-02-15,,202602
97745,TMO,BBG000BVDLH9,BBG001S5WS08,THERMO FISHER SCIENTIFIC INC.,2026-02-15,,202602
100885,UNP,BBG000BW3299,BBG001S5X2M0,UNION PACIFIC CORP,2026-02-15,,202602
101829,RTX,BBG000BW8S60,BBG001S5X5Q9,RTX Corp,2026-02-15,,202602
104169,WMT,BBG000BWXBC2,BBG001S5XH92,Walmart Inc.,2026-02-15,,202602
109198,TJX,BBG000BV8DN6,BBG001S5WQ93,TJX COMPANIES INC /DE/,2026-02-15,,202602
200406,JNJ,BBG000BMHYD1,BBG001S5SHQ9,JOHNSON & JOHNSON,2026-02-15,,202602
310158,MRK,BBG000BPD168,BBG001S5TC52,"Merck & Co., Inc.",2026-02-15,,202602
315189,DE,BBG000BH1NH9,BBG001S5QFF7,DEERE & CO,2026-02-15,,202602
316709,SCHW,BBG000BSLZY7,BBG001S5VXD4,SCHWAB CHARLES CORP,2026-02-15,,202602
318154,AMGN,BBG000BBS2Y0,BBG001S5NNL6,AMGEN INC,2026-02-15,,202602
319201,KLAC,BBG000BMTFR4,BBG001S5SLM4,KLA CORP,2026-02-15,,202602
320193,AAPL,BBG000B9XRY4,BBG001S5N8V8,Apple Inc.,2026-02-15,,202602
353278,NVO,BBG000BQBKR3,BBG001S5TSK0,NOVO NORDISK A S,2026-02-15,,202602
707549,LRCX,BBG000BNFLM9,BBG001S5SW40,LAM RESEARCH CORP,2026-02-15,,202602
731766,UNH,BBG000CH5208,BBG001S6WCJ1,UNITEDHEALTH GROUP INC,2026-02-15,,202602
732712,VZ,BBG000HS77T5,BBG001S67QY1,VERIZON COMMUNICATIONS INC,2026-02-15,,202602
732717,T,BBG000BSJK37,BBG001S5VWH2,AT&T INC.,2026-02-15,,202602
753308,NEE,BBG000BJSBJ0,BBG001S5RB29,NEXTERA ENERGY INC,2026-02-15,,202602
